,aantal_cilinders,emissiecode_omschrijving,jaar,cilinderinhoud
384,3.0,6.0,2021,1109.7754728416737
385,3.0,6.0,2022,1112.011613850272
386,3.0,6.0,2023,1097.9607244934004
387,4.0,0.0,1950,570.0
388,4.0,0.0,1951,1084.7142857142858
389,4.0,0.0,1952,2122.4444444444443
390,4.0,0.0,1953,1424.3157894736842
391,4.0,0.0,1954,1470.7666666666667
392,4.0,0.0,1955,1265.3461538461538
393,4.0,0.0,1956,1717.225
394,4.0,0.0,1957,1567.2941176470588
395,4.0,0.0,1958,1253.8095238095239
396,4.0,0.0,1959,1733.5
397,4.0,0.0,1960,1490.448275862069
398,4.0,0.0,1961,1602.3636363636363
399,4.0,0.0,1962,1583.1136363636363
400,4.0,0.0,1963,1531.341463414634
401,4.0,0.0,1964,1538.327868852459
402,4.0,0.0,1965,1571.1898734177216
403,4.0,0.0,1966,1501.7173913043478
404,4.0,0.0,1967,1626.6979166666667
405,4.0,0.0,1968,1473.86
406,4.0,0.0,1969,1494.0424242424242
407,4.0,0.0,1970,1502.8198757763976
408,4.0,0.0,1971,1599.555
409,4.0,0.0,1972,1550.8347107438017
410,4.0,0.0,1973,1529.045112781955
411,4.0,0.0,1974,1642.3660714285713
412,4.0,0.0,1975,1786.0330188679245
413,4.0,0.0,1976,1773.6178343949045
414,4.0,0.0,1977,1856.6989795918366
415,4.0,0.0,1978,1905.3636363636363
416,4.0,0.0,1979,1865.889344262295
417,4.0,0.0,1980,1894.0740740740741
418,4.0,0.0,1981,1837.157894736842
419,4.0,0.0,1982,1821.3658536585365
420,4.0,0.0,1983,1610.1237677984666
421,4.0,0.0,1984,1581.7454100367197
422,4.0,0.0,1985,1575.6233450418806
423,4.0,0.0,1986,1584.785925378648
424,4.0,0.0,1987,1602.3986170809194
425,4.0,0.0,1988,1617.26425394258
426,4.0,0.0,1989,1632.264058234759
427,4.0,0.0,1990,1655.664858525143
428,4.0,0.0,1991,1655.735886844411
429,4.0,0.0,1992,1697.255311148712
430,4.0,0.0,1993,1858.1461538461538
431,4.0,0.0,1994,1820.6048537647791
432,4.0,0.0,1995,1820.4599322799097
433,4.0,0.0,1996,1816.102030192608
434,4.0,0.0,1997,1814.8328884143086
435,4.0,0.0,1998,1802.4126126126125
